IdPedido,IdExperimento,Cantidad, Fecha Limite, IdProducto
25,0,1,6,5
25,1,17,3,4
25,2,17,4,3
25,3,16,0,1
25,4,10,0,8
25,5,7,3,7
25,6,10,2,13
25,7,6,5,4
25,8,4,6,13
25,9,11,5,1
25,10,13,5,3
25,11,7,0,7
25,12,6,5,5
25,13,1,0,2
25,14,9,3,8
25,15,1,5,5
25,16,2,5,10
25,17,8,2,4
25,18,13,5,13
25,19,7,0,5
25,20,5,5,6
25,21,10,4,9
25,22,13,0,5
25,23,8,3,7
25,24,14,5,3
25,25,4,1,1
25,26,17,2,3
25,27,4,0,9
25,28,10,4,8
25,29,3,5,6
25,30,6,2,0
25,31,16,2,2
25,32,6,2,3
25,33,15,4,6
25,34,7,0,3
25,35,11,5,7
25,36,3,0,13
25,37,1,4,4
25,38,13,5,13
25,39,7,4,6
25,40,10,3,8
25,41,15,3,0
25,42,14,0,4
25,43,16,3,3
25,44,6,3,8
25,45,15,2,12
25,46,7,6,7
25,47,2,3,8
25,48,8,6,0
25,49,12,4,0
25,50,9,4,9
25,51,17,4,9
25,52,11,2,0
25,53,16,6,6
25,54,2,0,7
25,55,15,1,4
25,56,4,0,7
25,57,1,2,10
25,58,3,5,3
25,59,5,3,10
25,60,15,6,3
25,61,3,5,0
25,62,15,0,4
25,63,12,4,2
25,64,13,5,10
25,65,7,4,9
25,66,2,2,11
25,67,15,4,4
25,68,4,3,9
25,69,17,4,11
25,70,15,4,12
25,71,4,1,6
25,72,5,1,4
25,73,17,3,5
25,74,9,1,12
25,75,8,1,6
25,76,17,6,6
25,77,17,5,2
25,78,9,2,8
25,79,14,1,8
25,80,1,6,4
25,81,15,5,3
25,82,4,0,13
25,83,8,0,13
25,84,13,6,8
25,85,7,5,11
25,86,6,5,13
25,87,8,4,8
25,88,13,6,5
25,89,10,1,8
25,90,1,1,7
25,91,12,2,9
25,92,7,4,9
25,93,15,1,0
25,94,5,4,5
25,95,1,3,5
25,96,11,1,6
25,97,13,2,12
25,98,1,2,13
25,99,3,6,9
