IdMaquina,IdProducto,Rate
0,0,12
0,1,10
0,2,14
0,3,19
0,4,10
0,5,17
0,6,12
0,7,16
0,8,10
0,9,11
0,10,19
0,11,10
0,12,15
0,13,13
1,0,19
1,1,13
1,2,14
1,3,14
1,4,12
1,5,15
1,6,16
1,7,18
1,8,16
1,9,15
1,10,18
1,11,16
1,12,19
1,13,14
2,0,10
2,1,11
2,2,11
2,3,18
2,4,13
2,5,19
2,6,17
2,7,11
2,8,18
2,9,13
2,10,13
2,11,13
2,12,14
2,13,19
3,0,4
3,1,5
3,2,7
3,3,5
3,4,5
3,5,5
3,6,4
3,7,5
3,8,6
3,9,5
3,10,5
3,11,4
3,12,4
3,13,4
4,0,7
4,1,6
4,2,7
4,3,6
4,4,4
4,5,5
4,6,4
4,7,6
4,8,6
4,9,7
4,10,5
4,11,7
4,12,4
4,13,5
5,0,14
5,1,13
5,2,10
5,3,10
5,4,13
5,5,19
5,6,13
5,7,17
5,8,18
5,9,10
5,10,16
5,11,19
5,12,10
5,13,15
6,0,17
6,1,11
6,2,10
6,3,19
6,4,14
6,5,15
6,6,18
6,7,18
6,8,16
6,9,10
6,10,18
6,11,18
6,12,15
6,13,19
7,0,12
7,1,17
7,2,10
7,3,17
7,4,13
7,5,11
7,6,13
7,7,13
7,8,17
7,9,13
7,10,18
7,11,13
7,12,11
7,13,18
